province;population_2015;area_km2;population_density_per_km2;cities_regencies;cities;regencies
Jawa Timur;38828061; 48 ; 828 ; 38 ; 9 ; 29 
Jawa Tengah;33753023; 41 ; 894 ; 35 ; 6 ; 29 
Sumatera Utara;13923262; 73 ; 188 ; 33 ; 8 ; 25 
Papua;3143088; 319 ; 8 ; 29 ; 1 ; 28 
Jawa Barat;46668214; 35 ; 1 ; 27 ; 9 ; 18 
Sulawesi Selatan;8512608; 47 ; 151 ; 24 ; 3 ; 21 
Aceh;4993385; 58 ; 77 ; 23 ; 5 ; 18 
Nusa Tenggara Timur;5112760; 49 ; 92 ; 22 ; 1 ; 21 
Sumatera Barat;5190577; 42 ; 110 ; 19 ; 7 ; 12 
Sumatera Selatan;8043042; 92 ; 86 ; 17 ; 4 ; 13 
Sulawesi Tenggara;2495248; 38 ; 51 ; 17 ; 2 ; 15 
Lampung;8109601; 35 ; 226 ; 15 ; 2 ; 13 
Sulawesi Utara;2409921; 14 ; 162 ; 15 ; 4 ; 11 
Kalimantan Barat;4783209; 147 ; 30 ; 14 ; 2 ; 12 
Kalimantan Tengah;2490178; 154 ; 14 ; 14 ; 1 ; 13 
Kalimantan Selatan;3984315; 39 ; 96 ; 13 ; 2 ; 11 
Sulawesi Tengah;2872857; 62 ; 41 ; 13 ; 1 ; 12 
Irian Jaya Barat;868819; 97 ; 8 ; 13 ; 1 ; 12 
Riau;6330941; 87 ; 52 ; 12 ; 2 ; 10 
Jambi;3397164; 50 ; 57 ; 11 ; 2 ; 9 
Maluku;1683856; 47 ; 32 ; 11 ; 2 ; 9 
Nusatenggara Barat;4830118; 19 ; 234 ; 10 ; 2 ; 8 
Bengkulu;1872136; 20 ; 84 ; 10 ; 1 ; 9 
Maluku Utara;1160275; 32 ; 31 ; 10 ; 2 ; 8 
Kalimantan Timur;3422676; 139 ; 22 ; 10 ; 3 ; 7 
Bali;4148588; 6 ; 621 ; 9 ; 1 ; 8 
Banten;11934373; 10 ; 909 ; 8 ; 4 ; 4 
Kepulauan Riau;1968313; 8 ; 208 ; 7 ; 2 ; 5 
Bangka-Belitung;1370331; 16 ; 64 ; 7 ; 1 ; 6 
Gorontalo;1131670; 11 ; 94 ; 6 ; 1 ; 5 
Sulawesi Barat;1279994; 17 ; 73 ; 6 ; - ; 6 
Jakarta Raya;10154134; 664 ; 13 ; 6 ; 5 ; 1 
Kalimantan Utara;639639; 72 ; 10 ; 5 ; 1 ; 4 
Yogyakarta;3675768; 3 ; 1 ; 5 ; 1 ; 4 